url,artist,title,year
https://www.youtube.com/watch?v=djV11Xbc914,a-ha,Take On Me,1985
https://www.youtube.com/watch?v=a3ir9HC9vYg,A-ha,The Sun Always Shines on T.V.,1985
https://www.youtube.com/watch?v=DgpW7Tcfa2g,A-ha,The Living Daylights,1987
https://www.youtube.com/watch?v=XEjLoHdbVeE,ABBA,Gimme Gimme Gimme,1979
https://www.youtube.com/watch?v=92cwKCU8Z5c,ABBA,The Winner Takes It All,1980
https://www.youtube.com/watch?v=xFrGuyw1V8s,ABBA,Dancing Queen,1976
https://www.youtube.com/watch?v=unfzfe8f9NI,ABBA,Mamma Mia,1975
https://www.youtube.com/watch?v=Sj_9CiNkkn4,ABBA,Waterloo,1974
https://www.youtube.com/watch?v=0dcbw4IEY5w,ABBA,Thank You for the Music,1978
https://www.youtube.com/watch?v=l482T0yNkeo,AC/DC,Highway to Hell,1979
https://www.youtube.com/watch?v=08DjMT-qR9g,Adele,Chasing Pavements,2007
https://www.youtube.com/watch?v=a2giXO6eyuI,Adele,Set Fire to the Rain,2010
https://www.youtube.com/watch?v=hLQl3WQQoQ0,Adele,Someone Like You,2010
https://www.youtube.com/watch?v=rYEDA3JcQqw,Adele,Rolling in the Deep,2010
https://www.youtube.com/watch?v=YQHsXMglC9A,Adele,Hello,2015
https://www.youtube.com/watch?v=U3ASj1L6_sY,Adele,Easy on Me,2021
https://www.youtube.com/watch?v=89dGC8de0CA,Aerosmith,Dream On,1973
https://www.youtube.com/watch?v=JkK8g6FMEXE,Aerosmith,I Don’t Want to Miss a Thing,1997
https://www.youtube.com/watch?v=wOem06X3uVo,Akcent,Kylie,2005
https://www.youtube.com/watch?v=BwBG_H5oYos,Akurat,Lubię mówić z Tobą,2001
https://www.youtube.com/watch?v=Er7Cd7z--TI,Alchemist Project,Krishna,2006
https://www.youtube.com/watch?v=rVeMiVU77wo,alt-J,Breezeblocks,2012
https://www.youtube.com/watch?v=iRYvuS9OxdA,Amy Macdonald,This Is the Life (BrzydUla),2007
https://www.youtube.com/watch?v=KUmZp8pR1uc,Amy Winehouse,Rehab,2006
https://www.youtube.com/watch?v=TJAfLE39ZZ8,Amy Winehouse,Back to Black,2006
https://www.youtube.com/watch?v=bixuI_GV5I0,Amy Winehouse,Valerie,2007
https://www.youtube.com/watch?v=b-I2s5zRbHg,Amy Winehouse,You Know I’m No Good,2006
https://www.youtube.com/watch?v=KNTTkaIsbZQ,Andrzej Korzyński,Witajcie w naszej bajce (Akademia Pana Kleksa),1984
https://www.youtube.com/watch?v=gVUN-D09jls,Andrzej Piaseczny,Śniadanie do łóżka,2018
https://www.youtube.com/watch?v=a_XzjPjaHl4,Andrzej Rosiewicz,Chłopcy radarowcy,1981
https://www.youtube.com/watch?v=SNn5ZuWS8JQ,Andrzej Zaucha,Byłaś serca biciem,1989
https://www.youtube.com/watch?v=wChFEkCqt5s,Anna Jantar,Tyle słońca w całym mieście,1974
https://www.youtube.com/watch?v=LBmUBMnuU2k,Anna Jantar,Nic nie może wiecznie trwać,1979
https://www.youtube.com/watch?v=K0FhEHQ5zCk,Anna Jurksztowicz,Stan pogody,1987
https://www.youtube.com/watch?v=TmBSku_Q8GU,Anna Jurksztowicz,Na dobre i na złe,2001
https://www.youtube.com/watch?v=Dqzrofdwi-g,Antique,Opa Opa,1999
https://www.youtube.com/watch?v=r7rF2EZ0A_0,Archive,Again,2001
https://www.youtube.com/watch?v=bpOSxM0rNPM,Arctic Monkeys,Do I Wanna Know,2013
https://www.youtube.com/watch?v=ma9I9VBKPiw,Arctic Monkeys,Fluorescent Adolescent,2007
https://www.youtube.com/watch?v=VQH8ZTgna3Q,Arctic Monkeys,R U Mine?,2013
https://www.youtube.com/watch?v=P9yIoSpWWNE,Aretha Franklin,Think,1968
https://www.youtube.com/watch?v=A134hShx_gw,Aretha Franklin,Respect,1967
https://www.youtube.com/watch?v=_ovdm2yX4MA,Avicii,Levels,2011
https://www.youtube.com/watch?v=5y_KJAg8bHI,Avicii,Wake Me Up,2013
https://www.youtube.com/watch?v=6Cp6mKbRTQY,Avicii,Hey Brother,2013
https://www.youtube.com/watch?v=5NPBIwQyPWE,Avril Lavigne,Complicated,2002
https://www.youtube.com/watch?v=TIy3n2b7V9k,Avril Lavigne,Sk8er Boi,2002
https://www.youtube.com/watch?v=6M6samPEMpM,Backstreet Boys,Everybody (Backstreet's Back),1997
https://www.youtube.com/watch?v=4fndeDfaWCg,Backstreet Boys,I Want It That Way,1999
https://www.youtube.com/watch?v=Ug88HO2mg44,Backstreet Boys,Quit playing game (with my heart),2001
https://www.youtube.com/watch?v=Cr8K88UcO0s,Bad Bunny,Tití Me Preguntó,2022
https://www.youtube.com/watch?v=saGYMhApaH8,"Bad Bunny, Chencho Corleone",Me Porto Bonito,2022
https://www.youtube.com/watch?v=TmKh7lAwnBI,"Bad Bunny, Jhay Cortez",Dákiti,2020
https://www.youtube.com/watch?v=Qa_0cuyy_A0,Bajm,Szklanka wody,2000
https://www.youtube.com/watch?v=qTsaS1Tm-Ic,Basshunter,DotA,2006
https://www.youtube.com/watch?v=P3CxhBIrBho,Basshunter,All I Ever Wanted,2008
https://www.youtube.com/watch?v=DxNxHJsTmt8,Beata Kozidrak,Rzeka marzeń,2001
https://www.youtube.com/watch?v=YgSPaXgAdzE,Beck,Loser,1993
https://www.youtube.com/watch?v=XpqqjU7u5Yc,Bee Gees,How Deep Is Your Love,1977
https://www.youtube.com/watch?v=SkypZuY6ZvA,Bee Gees,Night Fever,1977
https://www.youtube.com/watch?v=fNFzfwLM72c,Bee Gees,Stayin’ Alive,1977
https://www.youtube.com/watch?v=a0fkNdPiIL4,Benny Benassi,Satisfaction,2002
https://www.youtube.com/watch?v=kxTyV_cBz7o,Bessie Smith,Nobody Knows You When You're Down and Out,1929
https://www.youtube.com/watch?v=bnVUHWCynig,Beyoncé,Halo,2008
https://www.youtube.com/watch?v=ViwtNLUqkMY,Beyoncé,Crazy in Love,2003
https://www.youtube.com/watch?v=4m1EFMoRFvY,Beyoncé,Single Ladies (Put a Ring on It),2008
https://www.youtube.com/watch?v=yjki-9Pthh0,Beyoncé,Break My Soul,2022
https://www.youtube.com/watch?v=2aYvDuosiWM,Białas,Zosia,2022
https://www.youtube.com/watch?v=jMh00h367o0,Big Cyc,Facet to świnia,2002
https://www.youtube.com/watch?v=eGsreAQepAQ,Big Day,W dzień gorącego lata,1997
https://www.youtube.com/watch?v=DyDfgMOUjCI,Billie Eilish,Bad Guy,2019
https://www.youtube.com/watch?v=EgBJmlPo8Xw,Billie Eilish,Everything I Wanted,2019
https://www.youtube.com/watch?v=cW8VLC9nnTo,Billie Eilish,What Was I Made For?,2023
https://www.youtube.com/watch?v=THflqYOqm3A,Billie Holiday,Summertime,1947
https://www.youtube.com/watch?v=y4bZu56EylA,Billie Holiday,Blue Moon,1952
https://www.youtube.com/watch?v=bKNtP1zOVHw,Billie Holiday,God Bless the Child,1941
https://www.youtube.com/watch?v=gxEPV4kolz0,Billy Joel,Piano Man,1973
https://www.youtube.com/watch?v=hCuMWrfXG4E,Billy Joel,Uptown Girl,1983
https://www.youtube.com/watch?v=v5ryZdpEHqM,Bing Crosby,White Christmas,1959
https://www.youtube.com/watch?v=gGCNfANKQbs,Bing Crosby,Dream a Little Dream of Me,1946
https://www.youtube.com/watch?v=ZaI2IlHwmgQ,Black Eyed Peas,Pump It,2005
https://www.youtube.com/watch?v=WpYeekQkAdc,Black Eyed Peas,Where Is the Love?,2003
https://www.youtube.com/watch?v=uSD4vsh1zDA,Black Eyed Peas,I Gotta Feeling,2009
https://www.youtube.com/watch?v=0qanF-91aJo,Black Sabbath,Paranoid,1970
https://www.youtube.com/watch?v=eP5wNDeGqLk,Blenders,Ciągnik,1996
https://www.youtube.com/watch?v=TsKOUyFldH4,Blenders,Owca,1997
https://www.youtube.com/watch?v=WGU_4-5RaxU,Blondie,Heart of Glass,1978
https://www.youtube.com/watch?v=StKVS0eI85I,Blondie,Call Me,1980
